ESTADO,GOVERNADOR,GÊNERO,PARTIDO,VICE,GÊNERO,PARTIDO,ENFOQUE,SECRETARIAS,SECRETÁRIOS,GÊNERO,PARTIDO,PROFISSÃO,INVESTIMENTO,DESPESAS,TOTAL,%TOTAL,ESCOLHA
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Governo,Casa Civil,Fábio Luiz Araújo Lopes de Farias,M,PMDB,Médico,1.080.000,,16.420.928.045,"0,006576972976",Política
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Economia,Fazenda,George André Palermo Santoro,M,Não,Advogado,41.524.000,,16.420.928.045,"0,2528724314",Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Economia,Agricultura,Alvaro José do Monte Vasconcelos,M,Não,Empresário,67.775.000,,16.420.928.045,"0,4127355032",Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Social - 02,Turismo,Jeanine Pires,F,Não,Empresária,7.507.911,,16.420.928.045,"0,04572159977",Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Social - 02,Paz,Jardel Aderico,M,Não,Jornalista,22.819.438,8.334.308.547,16.420.928.045,"0,1389655806",Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Social - 02,Ciência,Pablo Viana da Silva,M,PMDB,Cientista da Computação,3.642.731,,16.420.928.045,"0,02218346606",Política
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Social - 01,Educação,Luciano Barbosa,M,PMDB,Engenheiro Civil,126.661.000,,16.420.928.045,"0,771338865",Política
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Social - 02,Desenvolvimento Social,Joaquim Brito,M,PT,Administrador,6.080.133,1.051.341.647,16.420.928.045,"0,03702673188",Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Social - 01,Saúde,Rozangela Wyszomirska,F,Não,Médica,152.007.734,17,16.420.928.045,"0,925695147",Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Governo,Planejamento,Christian Teixeira,M,Não,Advogado,30.644.370,,16.420.928.045,"0,1866177716",Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Infraestrutura,Infraestrutura,Aparecida Machado,F,Não,Administrador,403.694.931,,16.420.928.045,"2,45841727",Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Social - 01,Segurança Pública,Alfredo Gaspar de Mendonça,M,Não,Promotor de Justiça,67.612.987,,16.420.928.045,"0,4117488781",Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Social - 02,Mulher ,Rosinha da Adefal,F,PTdoB,Servidora Pública,12.350.000,,16.420.928.045,"0,07520890394",Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Economia,Trabalho,Rafael Brito,M,PDT,Administrador,15.000.000,,16.420.928.045,"0,09134684689",Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Social - 02,Cultura,Mellina Freitas,F,PMDB,Superior Completo,10.028.412,,16.420.928.045,"0,06107092104",Política
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Infraestrutura,Transporte,Mosart Amaral,M,PMDB,Engenheiro Civil,55.690.000,,16.420.928.045,"0,3391403936",Política
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Social - 02,Esporte,Cláudia Petuba,F,PcdoB,Administradora,,,16.420.928.045,0,Técnica
AL,Renan Filho,M,PMDB,Luciano Barbosa,M,PMDB,Infraestrutura,Meio ambiente,Alexandre Ayres,M,PSD,Advogado,27.223.000,,16.420.928.045,"0,1657823475",Técnica
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Governo,Casa Civil,Bruno Dauster,M,PT,,55.799.352,,39.091.321.000,"0,1427410243",Política
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Governo,Administração,Edelvino Goés,M,PT,,269.928.000,,39.091.321.000,"0,6905062124",Política
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Infraestrutura,Desenvolvimento urbano,Carlos Martins,M,Não,,1.964.122.200,,39.091.321.000,"5,024445708",Técnica
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Social - 02,Ciência,Manoel Gomes Mendonça,M,Não,,44.122.600,,39.091.321.000,"0,1128705781",Técnica
